id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
33334,0,0.278,0.056,0.389,0.111,0,0.167,0,0,0,0,0,0,0.605,0.088,0.01,0.098,0,0.199,0,0,0,0,0,210252.5,18
33350,0,0.557,0,0,0.203,0.063,0,0.025,0.013,0.101,0,0,0,0.613,0,0,0.18,0.051,0,0.018,0.019,0.085,0,0,1180644.1,79
33356,0,0.4,0.222,0.311,0,0.044,0,0,0,0.022,0,0,0,0.345,0.418,0.145,0,0.05,0,0,0,0.043,0,0,291449.37,45
33359,0.182,0.182,0,0.273,0.273,0.091,0,0,0,0,0,0,0.014,0.265,0,0.348,0.184,0.188,0,0,0,0,0,0,119451.54,11
33365,0,0,0.024,0.634,0,0,0,0,0,0.244,0,0,0,0,0.024,0.629,0,0,0,0,0,0.166,0,0,760741.09,41
33375,0,0.167,0,0.5,0,0,0.167,0.167,0,0,0,0,0,0.857,0,0.002,0,0,0.12,0.022,0,0,0,0,153536.68,6
33384,0,0.355,0,0.066,0.105,0.158,0.013,0.053,0,0,0,0.013,0,0.356,0,0,0.096,0.114,0.007,0.037,0,0,0,0.022,1928569.5,76
33401,0,0,0.091,0.455,0.091,0.091,0.182,0,0,0,0,0.091,0,0,0.167,0.004,0.072,0.139,0.157,0,0,0,0,0.46,221336.96,11
33402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35924.04,10
33406,0,0,0.238,0.048,0,0,0,0,0,0,0.191,0,0,0,0.041,0.033,0,0,0,0,0,0,0.771,0,2611302.75,21
33408,0.027,0.47,0,0.146,0.053,0.06,0.02,0.073,0,0.007,0.066,0,0.014,0.195,0,0.058,0.043,0.035,0.015,0.027,0,0.004,0.564,0,5528176.66,151
33436,0.133,0,0,0.2,0.267,0,0,0.133,0,0,0,0,0.05,0,0,0.702,0.038,0,0,0.003,0,0,0,0,449661.37,15
33440,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2802.01,23
33457,0,0.125,0.5,0,0.125,0.125,0,0,0,0,0,0,0,0.055,0.62,0,0.044,0.119,0,0,0,0,0,0,340324.52,8
33459,0,0.494,0.247,0.023,0.045,0,0.045,0.011,0,0.101,0,0,0,0.562,0.176,0.055,0.024,0,0.042,0.01,0,0.116,0,0,4633614.34,89
33460,0,0,0,0.316,0.026,0,0,0,0.013,0.526,0,0,0,0,0,0.234,0.046,0,0,0,0.001,0.648,0,0,370355.2,76
33461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146000,20
33465,0,0.333,0.485,0.101,0.01,0.03,0.01,0,0,0,0,0.01,0,0.368,0.48,0.072,0.008,0.026,0.01,0,0,0,0,0.003,1043425.53,99
33466,0,0.046,0.136,0,0,0,0,0.364,0,0,0,0,0,0.052,0.098,0,0,0,0,0.194,0,0,0,0,413427.64,22
33468,0,0.333,0.133,0,0.067,0,0,0.067,0,0,0,0.067,0,0.265,0.089,0,0.034,0,0,0.139,0,0,0,0.053,240313.52,15
33477,0,0,0,0.286,0.429,0,0,0,0.143,0,0,0,0,0,0,0.191,0.666,0,0,0,0.047,0,0,0,87783.61,7
33479,0.435,0,0.478,0,0,0,0.087,0,0,0,0,0,0.765,0,0.189,0,0,0,0.045,0,0,0,0,0,1257136.42,23
33492,0,0.968,0,0,0,0,0.032,0,0,0,0,0,0,0.65,0,0,0,0,0.351,0,0,0,0,0,2390963.31,62
33510,0,0.088,0,0.118,0,0,0,0,0,0.118,0,0.059,0,0.044,0,0.063,0,0,0,0,0,0.013,0,0.038,2331072.52,34
33513,0,0.933,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,0,0,0,0,0,0,308782.39,15
